Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy
CUST_H605W3,PROD_2Y2RID,TRANS_6G3IVM,5,172.68,Electronics,23,Europe,0.86,6589.81,2021-08-05,2023-04-11,Spring,Afternoon,Email Campaign
CUST_7KEA4I,PROD_M35YA3,TRANS_QHURYI,18,30.56,Clothing,83,North America,0.55,1005.72,2021-05-15,2023-11-28,Summer,Morning,Loyalty Program
CUST_7I11M9,PROD_ELE4RZ,TRANS_W2RL1O,18,95.85,Electronics,13,Asia,0.34,6299.37,2020-08-05,2023-08-06,Spring,Morning,Discount
CUST_WQB3QG,PROD_IBLABI,TRANS_Y8I3QE,10,108.6,Home,7,Europe,0.89,7317.6,2021-02-13,2023-10-25,Summer,Morning,Loyalty Program
CUST_EF8557,PROD_P2DMGE,TRANS_29D2I2,10,139.31,Sports,78,Asia,0.78,6578.3,2022-02-05,2023-11-29,Winter,Evening,Email Campaign
CUST_792ZPI,PROD_JLOC27,TRANS_X42QD9,3,141.64,Home,24,North America,0.2,5902.92,2020-06-04,2023-04-15,Spring,Evening,Email Campaign
CUST_CNYAZK,PROD_2EQ5LO,TRANS_T73AG3,18,39.17,Clothing,63,North America,0.69,5264.38,2022-01-09,2023-10-15,Fall,Evening,Loyalty Program
CUST_45L1B8,PROD_XFBU9X,TRANS_S38KSO,18,139.37,Sports,69,South America,0.42,9127.85,2022-03-30,2023-07-08,Winter,Evening,Loyalty Program
CUST_99ZA53,PROD_2E3MNX,TRANS_O6PCG7,17,105.73,Sports,36,North America,0.66,194.59,2020-04-27,2023-03-16,Spring,Afternoon,Email Campaign
CUST_NWGN1Z,PROD_R1Y19O,TRANS_38FJVY,14,93.03,Sports,53,North America,0.78,3845.95,2021-03-12,2023-05-23,Summer,Evening,Email Campaign
CUST_EA95KF,PROD_R6QGPV,TRANS_XB0SUN,16,166.36,Home,83,Asia,0.88,5125.94,2021-03-05,2023-02-07,Winter,Morning,Email Campaign
CUST_5RUZ9U,PROD_KCO2XQ,TRANS_N2ZWKU,11,106.34,Home,41,North America,0.17,627.2,2020-03-20,2023-11-04,Winter,Evening,Loyalty Program
CUST_T95LCL,PROD_V9G363,TRANS_19AA2Z,19,58.13,Home,39,Europe,0.83,1794.11,2020-04-11,2023-09-27,Summer,Evening,Discount
CUST_MD1TF0,PROD_VWJAW6,TRANS_5QZIZO,9,100.65,Electronics,29,North America,0.82,9709.29,2021-07-11,2023-08-03,Fall,Evening,Email Campaign
CUST_2H3FIT,PROD_LLJO26,TRANS_BN90ZR,11,138.91,Electronics,36,South America,0.45,1699.1,2022-10-31,2023-04-20,Fall,Evening,Email Campaign
CUST_ASIAQN,PROD_A0GGZN,TRANS_XZMA7R,4,179.37,Home,12,Europe,0.28,3526.92,2021-11-16,2023-04-19,Summer,Evening,Discount
CUST_5VD1AF,PROD_9FP1KM,TRANS_2REXOG,18,47.25,Clothing,54,Europe,0.55,3666.4,2020-11-03,2023-06-07,Fall,Afternoon,Email Campaign
CUST_5C973R,PROD_DNB9HU,TRANS_4IYIU0,7,165.36,Home,12,Asia,0.76,2028.94,2022-09-30,2023-09-24,Winter,Evening,Discount
CUST_G8HU0Y,PROD_67CKAZ,TRANS_21LPF7,13,169.44,Electronics,31,South America,0.36,4558.4,2022-11-01,2023-01-29,Spring,Evening,Loyalty Program
CUST_2KHJ4Y,PROD_0VHFS7,TRANS_9AIGGW,1,138.29,Electronics,66,Asia,0.27,2053.08,2020-09-30,2023-05-18,Summer,Afternoon,Email Campaign
CUST_OL6Z6A,PROD_SMVS94,TRANS_7Y5D04,12,101.33,Sports,87,North America,0.95,3860.4,2022-06-09,2023-04-14,Summer,Afternoon,Discount
CUST_80XT8K,PROD_85FXS1,TRANS_CF2UIG,2,51.68,Clothing,37,South America,0.27,7406.47,2022-03-26,2023-03-14,Winter,Evening,Discount
CUST_MSNQX0,PROD_SFPDI5,TRANS_I69T9V,14,48.23,Home,69,South America,0.46,933.63,2020-12-12,2023-01-22,Winter,Evening,Email Campaign
CUST_4XM4T8,PROD_AYJHII,TRANS_QODMWY,19,58.92,Sports,50,South America,0.97,6527.21,2021-03-24,2023-11-07,Fall,Evening,Discount
CUST_NMIM67,PROD_QRJOQQ,TRANS_X1J6WF,5,37.72,Sports,79,Asia,0.16,9937.12,2022-08-14,2023-10-12,Winter,Afternoon,Loyalty Program
CUST_G3CBW1,PROD_4XTTVE,TRANS_XROLFW,2,61.25,Electronics,10,North America,0.98,3585.45,2021-03-01,2023-08-25,Fall,Afternoon,Email Campaign
CUST_LMWRL7,PROD_JSTXXZ,TRANS_6QAZQ4,9,46.48,Clothing,39,North America,0.59,6308.82,2021-11-09,2023-11-24,Fall,Evening,Discount
CUST_BP1CZW,PROD_38AOV5,TRANS_YH9TT9,19,23.99,Sports,17,South America,0.93,4860.19,2020-08-23,2023-05-22,Summer,Afternoon,Discount
CUST_V6TG3I,PROD_IS1C0S,TRANS_XHU7MO,4,182.98,Clothing,59,Europe,0.94,4384.96,2020-11-10,2023-01-02,Fall,Evening,Email Campaign
CUST_PBDQSR,PROD_0SQDEQ,TRANS_21805X,5,99.78,Home,52,North America,0.44,3917.09,2020-10-29,2023-06-18,Winter,Evening,Email Campaign
CUST_4D8TQ7,PROD_9Y47SE,TRANS_URXRPO,2,144.04,Electronics,78,Europe,0.11,6457.94,2021-03-20,2023-01-28,Summer,Evening,Email Campaign
CUST_PE88A7,PROD_IGQ04T,TRANS_4GHR21,16,147.99,Home,28,Asia,0.54,9793.48,2022-04-10,2023-01-15,Fall,Afternoon,Email Campaign
CUST_FQDNFA,PROD_RA21TR,TRANS_XZ3ATJ,6,43.79,Electronics,48,North America,0.78,2071.72,2021-07-08,2023-09-07,Winter,Afternoon,Loyalty Program
CUST_5LNW0H,PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,Europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign
CUST_5YEMJD,PROD_BQZPQW,TRANS_QFA4GW,10,168.79,Sports,71,Asia,0.6,4170.08,2022-03-29,2023-07-20,Summer,Evening,Loyalty Program
CUST_QU7QVL,PROD_LMZ8FO,TRANS_RKYSMN,4,180.07,Clothing,38,Europe,0.28,5093.39,2021-07-13,2023-10-05,Spring,Afternoon,Discount
CUST_29DO3Z,PROD_G9QAZF,TRANS_RRYEW5,3,151.9,Home,33,Europe,0.24,1686.06,2022-08-08,2023-10-15,Winter,Afternoon,Discount
CUST_L6Y0LJ,PROD_QSBLCY,TRANS_5LGI9O,13,54.2,Clothing,69,North America,0.26,8156.23,2022-07-20,2023-10-03,Summer,Evening,Email Campaign
CUST_3CJ2R1,PROD_NV7ANP,TRANS_Z85T6R,4,70.04,Sports,33,Asia,0.18,4456.32,2022-02-04,2023-07-25,Fall,Afternoon,Loyalty Program
CUST_TWR7Q9,PROD_MKX3U2,TRANS_XWNAU4,11,79.79,Electronics,24,South America,0.92,3278.04,2021-04-26,2023-11-07,Spring,Morning,Loyalty Program
CUST_BT8F7N,PROD_VP1C85,TRANS_BN4GLI,7,141.62,Home,34,Asia,0.24,8513.1,2021-08-27,2023-06-16,Summer,Evening,Discount
CUST_44WU3H,PROD_DLW1HT,TRANS_OZSTC6,17,25.67,Electronics,25,North America,0.99,9777.23,2021-03-01,2023-06-03,Summer,Morning,Email Campaign
CUST_9CCEOL,PROD_V7YPR0,TRANS_3C9IZ7,8,121.15,Home,73,North America,0.04,7429.9,2021-12-01,2023-01-18,Fall,Evening,Loyalty Program
CUST_5CMJNC,PROD_REQDDN,TRANS_E7YDDY,5,159.29,Clothing,23,North America,1.0,9884.14,2020-03-12,2023-01-31,Winter,Morning,Loyalty Program
CUST_RIOS1B,PROD_7M7FN6,TRANS_P8HBGJ,7,143.17,Electronics,71,North America,0.75,9939.87,2021-09-29,2023-10-04,Spring,Evening,Discount
CUST_UHM0W0,PROD_I8BK7H,TRANS_DRQVRX,18,112.91,Sports,10,South America,0.3,481.09,2020-03-12,2023-10-28,Winter,Afternoon,Loyalty Program
CUST_XYCV8A,PROD_GEO4BY,TRANS_OHOMTE,2,87.07,Sports,61,Europe,0.25,4389.88,2020-01-16,2023-03-16,Winter,Afternoon,Loyalty Program
CUST_1XBJ9U,PROD_ZDFDHP,TRANS_7QZT0M,16,90.59,Electronics,6,South America,0.45,6536.15,2022-08-10,2023-04-13,Spring,Morning,Email Campaign
CUST_SG4B8W,PROD_HGV6XV,TRANS_KR47ZL,16,155.46,Electronics,71,Asia,0.28,514.55,2022-03-10,2023-09-23,Fall,Afternoon,Loyalty Program
CUST_YNB5QL,PROD_QKQZCD,TRANS_GNTBSC,1,29.43,Clothing,72,North America,0.37,6446.33,2022-08-28,2023-09-11,Fall,Afternoon,Loyalty Program
CUST_UL763Z,PROD_APLSZ5,TRANS_J4I69W,11,187.02,Home,47,North America,0.36,3209.14,2020-12-20,2023-08-17,Winter,Morning,Discount
CUST_PLP8HF,PROD_06OMWE,TRANS_V5XD0N,8,193.61,Clothing,31,North America,0.09,4250.12,2022-05-29,2023-08-19,Summer,Evening,Discount
CUST_RB6RRC,PROD_FZPBJ0,TRANS_SUV302,1,165.46,Clothing,75,North America,0.49,3399.96,2021-03-30,2023-01-08,Summer,Morning,Discount
CUST_E8RVBQ,PROD_Q33F7S,TRANS_KWSVZ1,5,141.7,Clothing,27,North America,0.54,4979.03,2022-08-02,2023-11-06,Winter,Evening,Email Campaign
CUST_BY0GMM,PROD_W0BL0N,TRANS_ZHY8NX,9,76.18,Clothing,88,Asia,0.92,6700.23,2021-09-08,2023-08-07,Summer,Evening,Email Campaign
CUST_A2HM1J,PROD_LPYYDT,TRANS_YRXSEE,11,105.41,Clothing,19,Europe,0.35,8484.97,2021-02-21,2023-10-07,Fall,Morning,Discount
CUST_8G18L2,PROD_AYH2IY,TRANS_OO6E0E,12,195.98,Clothing,70,North America,0.94,2131.19,2020-01-23,2023-05-16,Spring,Afternoon,Discount
CUST_G141RX,PROD_57UL5X,TRANS_RL8R7X,13,40.69,Electronics,19,Asia,0.82,5732.6,2022-04-13,2023-02-26,Summer,Afternoon,Email Campaign
CUST_VZC5ZH,PROD_7PA2MO,TRANS_3CFDED,8,168.99,Electronics,75,Europe,0.04,4436.29,2020-05-15,2023-12-22,Winter,Morning,Discount
CUST_FSDTLK,PROD_B4YT9N,TRANS_YS9IFG,7,52.13,Electronics,40,North America,0.08,549.09,2021-04-22,2023-04-14,Winter,Evening,Discount
CUST_JPDA4D,PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,South America,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program
CUST_H4OVTS,PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,Europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount
CUST_Q19TO6,PROD_2WKC14,TRANS_TFY65O,13,161.93,Clothing,80,South America,0.23,6924.0,2022-07-18,2023-11-02,Summer,Evening,Email Campaign
CUST_QH5U2G,PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,Asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign
CUST_REKKSM,PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,Asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount
CUST_12P5SP,PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,Europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount
CUST_934TJ6,PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,Asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program
CUST_FJPJ16,PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,Asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount
CUST_4LYGW1,PROD_CHEZ3Y,TRANS_BVJ93X,10,44.92,Electronics,71,North America,0.15,6286.12,2022-10-02,2023-12-19,Spring,Morning,Loyalty Program
CUST_SASUTZ,PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,Europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign
CUST_1F6ITR,PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,North America,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program
CUST_A8JHLW,PROD_W15OP6,TRANS_2RANWV,8,82.69,Clothing,67,Asia,0.28,7565.07,2022-05-17,2023-12-27,Summer,Morning,Loyalty Program
CUST_W8IZWM,PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,North America,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program
CUST_6P1OQQ,PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,Asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program
CUST_A6XFY9,PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,South America,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount
CUST_MW3LV2,PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,Asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign
CUST_A9PHFE,PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,Asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign
CUST_HOB0YK,PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,Europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program
CUST_BRRRRU,PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,North America,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program
CUST_DA0I76,PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,Asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program
CUST_7GAVM9,PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,North America,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,North America,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program
CUST_HXOYK8,PROD_0HPPRU,TRANS_L6C5IH,7,35.98,Home,6,South America,0.08,3408.85,2021-08-11,2023-11-27,Summer,Afternoon,Email Campaign
CUST_VLBL5K,PROD_JQKMA9,TRANS_B1AGUQ,10,97.5,Sports,63,South America,0.39,6008.65,2022-11-03,2023-07-08,Winter,Morning,Loyalty Program
CUST_5T9TN8,PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,Europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount
CUST_2WBGJJ,PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,South America,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount
CUST_I40LLF,PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,North America,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount
CUST_7USGEB,PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,South America,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign
CUST_ZYJ13O,PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,South America,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount
CUST_ZIMOOB,PROD_50ZMSE,TRANS_XDO4Y2,13,199.76,Home,60,South America,0.24,1666.64,2022-06-05,2023-10-22,Fall,Morning,Loyalty Program
CUST_BQQQVX,PROD_91W0VF,TRANS_3NDXUA,2,122.65,Clothing,55,Asia,0.38,567.28,2020-08-31,2023-06-25,Fall,Afternoon,Loyalty Program
CUST_52EO2K,PROD_MSW50K,TRANS_QE16CC,17,91.92,Sports,76,Europe,0.12,9238.72,2020-07-05,2023-10-06,Fall,Evening,Discount
CUST_0H7Z3X,PROD_5N7JDT,TRANS_GCRXS0,8,180.68,Electronics,61,South America,0.13,8896.81,2022-12-20,2023-09-07,Fall,Afternoon,Discount
CUST_QAXZQT,PROD_TJI0KT,TRANS_25JY8J,6,39.65,Electronics,11,North America,0.51,6765.08,2022-05-16,2023-01-11,Spring,Evening,Discount
CUST_ZJT22H,PROD_3I2T16,TRANS_TSXRLY,13,79.7,Clothing,26,North America,0.93,3050.4,2022-07-13,2023-01-23,Spring,Evening,Loyalty Program
CUST_4RESKZ,PROD_2F8I98,TRANS_A2GMGR,6,128.88,Sports,18,Europe,0.71,128.02,2020-08-06,2023-06-24,Summer,Afternoon,Loyalty Program
CUST_7U3ZEK,PROD_TRJDBV,TRANS_POJPUF,9,99.62,Electronics,72,Europe,0.04,7129.69,2022-05-13,2023-08-28,Summer,Evening,Email Campaign
CUST_S6QIFA,PROD_PSYN74,TRANS_02XSH5,13,128.57,Sports,64,Europe,0.4,711.52,2020-04-19,2023-03-15,Spring,Morning,Loyalty Program
CUST_Z2QK0K,PROD_4UZA62,TRANS_3PGBPE,3,73.03,Electronics,29,North America,0.15,9705.66,2020-03-15,2023-02-11,Spring,Morning,Loyalty Program
CUST_11IJ74,PROD_IU4XOE,TRANS_FQP9AV,11,101.47,Electronics,45,Europe,0.44,2672.93,2021-06-05,2023-07-14,Spring,Evening,Discount
CUST_ZM1Y63,PROD_1AQQBV,TRANS_R2YAYK,16,162.83,Home,50,North America,0.17,6899.44,2020-05-05,2023-12-23,Spring,Morning,Loyalty Program
CUST_2V0EZT,PROD_1TF70I,TRANS_CQ4GU5,11,117.22,Electronics,26,North America,0.18,2200.37,2022-12-08,2023-10-13,Summer,Evening,Discount
CUST_1YC4YV,PROD_HECA62,TRANS_8ENQPZ,3,79.85,Home,56,Asia,0.68,2397.39,2022-06-17,2023-05-01,Fall,Evening,Loyalty Program
CUST_E2YRB5,PROD_KM8KUD,TRANS_CCJNRN,12,191.24,Clothing,51,South America,0.44,825.13,2021-09-12,2023-02-05,Summer,Afternoon,Email Campaign
CUST_H4DM4P,PROD_C5Z26S,TRANS_OTHAW3,5,189.2,Clothing,84,North America,0.2,2432.16,2020-04-11,2023-06-02,Fall,Evening,Loyalty Program
CUST_EGCZS5,PROD_Q1F10S,TRANS_FXGFI4,3,83.92,Electronics,32,Europe,0.98,6756.35,2022-04-06,2023-04-02,Summer,Evening,Loyalty Program
CUST_P2B7RK,PROD_3ZMZA9,TRANS_T32V0R,6,125.79,Home,27,Europe,0.54,2333.31,2021-12-07,2023-01-21,Fall,Evening,Loyalty Program
CUST_2MCHA9,PROD_0DXZ79,TRANS_9PECLX,19,62.65,Sports,42,Asia,0.77,7577.54,2021-08-15,2023-12-29,Fall,Afternoon,Email Campaign
CUST_FGBXDV,PROD_WKFQJ3,TRANS_CQ5278,4,45.21,Electronics,18,South America,0.29,4404.1,2020-01-25,2023-01-28,Winter,Evening,Email Campaign
CUST_U3CUD6,PROD_9R98KN,TRANS_KNJPMZ,5,68.41,Sports,21,Europe,0.09,3839.97,2020-06-03,2023-10-25,Spring,Afternoon,Discount
CUST_QCUD86,PROD_1SNBVE,TRANS_MD4DRM,8,63.84,Electronics,29,Europe,0.17,7419.49,2022-08-11,2023-11-23,Winter,Afternoon,Discount
CUST_VP4IIN,PROD_IT717Q,TRANS_GP1OQV,4,194.85,Sports,54,North America,0.32,718.17,2021-11-11,2023-07-15,Spring,Morning,Loyalty Program
CUST_9EBJL3,PROD_QYT7SW,TRANS_3BPSLO,12,151.04,Sports,38,Europe,0.43,8162.55,2020-09-09,2023-12-01,Fall,Evening,Loyalty Program
CUST_TBJH1N,PROD_8VAQY0,TRANS_IOFFK9,1,123.76,Electronics,29,South America,0.82,2525.29,2020-08-14,2023-04-21,Fall,Morning,Loyalty Program
CUST_0CB73G,PROD_WPIL5B,TRANS_QVIN85,7,188.85,Home,75,North America,0.82,1716.41,2020-12-05,2023-09-10,Summer,Morning,Loyalty Program
CUST_DCB05J,PROD_EQJEIX,TRANS_PEB1AF,13,26.16,Electronics,23,Asia,0.75,9071.72,2022-12-18,2023-08-01,Summer,Morning,Email Campaign
CUST_F2V19Q,PROD_SY44GQ,TRANS_E5I20X,2,59.18,Electronics,35,North America,0.32,6127.71,2021-07-10,2023-10-21,Fall,Morning,Loyalty Program
CUST_7WS7QT,PROD_9HJUMB,TRANS_3VZM4N,6,63.15,Electronics,76,Europe,0.97,1280.44,2022-05-08,2023-02-10,Spring,Evening,Discount
CUST_EYA1WF,PROD_6VYL5Q,TRANS_NCVTPC,11,103.72,Home,40,Europe,0.76,5618.73,2021-02-13,2023-11-30,Fall,Afternoon,Loyalty Program
CUST_85N1LQ,PROD_PMDE3S,TRANS_NXR2HS,13,49.79,Clothing,25,North America,0.31,9534.92,2020-08-23,2023-06-03,Fall,Afternoon,Email Campaign
CUST_HBN26L,PROD_Y756B1,TRANS_7OTVQS,16,137.38,Sports,44,South America,0.18,4058.92,2022-05-03,2023-10-16,Summer,Afternoon,Discount
CUST_7DL54F,PROD_JGLZ0G,TRANS_UAJLD3,13,32.26,Electronics,51,Europe,0.9,3034.81,2020-02-15,2023-11-11,Fall,Morning,Loyalty Program
CUST_UUECOU,PROD_IKB9GQ,TRANS_DAR1KI,16,150.47,Home,51,North America,0.89,4237.48,2020-10-11,2023-11-27,Fall,Morning,Loyalty Program
CUST_D3OZEV,PROD_OHZRVC,TRANS_K7ORMB,19,88.07,Home,74,South America,0.83,4483.33,2021-10-09,2023-04-03,Spring,Morning,Discount
CUST_3OW1VU,PROD_PS5AGZ,TRANS_HHDCI4,10,91.25,Electronics,74,South America,0.53,4454.13,2022-04-25,2023-06-07,Fall,Morning,Discount
CUST_W2GG22,PROD_3AAY9T,TRANS_RYC9VY,2,156.92,Electronics,73,South America,0.77,3777.19,2020-01-10,2023-11-29,Winter,Afternoon,Loyalty Program
CUST_9JYH3O,PROD_WLJHEY,TRANS_SO06RV,2,22.38,Sports,55,Asia,0.43,6853.05,2021-10-02,2023-09-04,Spring,Evening,Discount
CUST_UJJ5AB,PROD_Q0JNGA,TRANS_EUR8PH,5,28.7,Home,38,Asia,0.5,3507.66,2020-08-02,2023-08-06,Spring,Evening,Discount
CUST_HGIUYL,PROD_ZC2DS8,TRANS_GH2SZG,18,80.6,Home,31,Europe,0.46,8806.33,2021-01-05,2023-05-14,Fall,Morning,Discount
CUST_DLK1QI,PROD_7IOKLW,TRANS_I237FI,8,137.58,Electronics,52,South America,0.28,8812.2,2021-01-01,2023-10-09,Winter,Morning,Email Campaign
CUST_P50GJC,PROD_U6X54G,TRANS_W0R881,12,117.9,Clothing,57,North America,0.73,1442.09,2020-03-03,2023-05-20,Summer,Evening,Email Campaign
CUST_MQVQQP,PROD_6A65WZ,TRANS_UOAD2A,8,189.13,Clothing,87,Asia,0.04,5404.37,2022-07-10,2023-03-20,Fall,Morning,Loyalty Program
CUST_G2QS02,PROD_7IPDZP,TRANS_MFX2BK,1,90.67,Electronics,8,South America,0.92,6686.41,2020-08-28,2023-08-07,Winter,Afternoon,Email Campaign
CUST_4AARW5,PROD_H1YD38,TRANS_L3VS5K,10,159.94,Clothing,75,Europe,0.93,9676.79,2020-12-08,2023-06-04,Fall,Afternoon,Email Campaign
CUST_0UZG1E,PROD_MH6MNK,TRANS_H3LISZ,13,53.38,Electronics,41,Asia,0.46,3557.0,2022-06-22,2023-01-03,Spring,Morning,Discount
CUST_3AUFK5,PROD_Y9QX6S,TRANS_WOKXCH,7,132.58,Electronics,58,Asia,0.79,708.91,2021-03-04,2023-01-26,Spring,Morning,Email Campaign
CUST_YS4VJ7,PROD_ZX8QQU,TRANS_FR5JIG,12,62.46,Sports,6,South America,0.83,5698.74,2021-04-27,2023-05-12,Fall,Afternoon,Loyalty Program
CUST_HCJJXE,PROD_BV7IGR,TRANS_6TR23N,3,119.26,Electronics,18,Europe,0.35,2823.8,2022-06-24,2023-11-29,Fall,Morning,Email Campaign
CUST_CMZMO3,PROD_0XJ9VA,TRANS_ODMTZF,2,133.08,Clothing,89,Europe,0.1,341.02,2021-05-07,2023-08-17,Fall,Morning,Email Campaign
CUST_LMBIH0,PROD_X1ZZ9B,TRANS_Z9AIP7,13,162.93,Electronics,26,South America,0.05,4436.42,2022-10-13,2023-09-24,Summer,Morning,Loyalty Program
CUST_OO4P5H,PROD_N32456,TRANS_GJB78Y,8,102.77,Clothing,43,Asia,0.51,8911.13,2020-06-19,2023-10-08,Fall,Afternoon,Loyalty Program
CUST_VZTSAO,PROD_1QKG57,TRANS_CICYQ7,1,57.7,Electronics,51,Asia,0.48,8016.1,2020-12-24,2023-06-15,Winter,Evening,Email Campaign
CUST_PLF51R,PROD_NQDWK1,TRANS_QA6CD7,2,105.71,Clothing,80,Europe,0.23,7852.64,2021-08-26,2023-05-23,Winter,Afternoon,Discount
CUST_THMDAK,PROD_PMXIA1,TRANS_JM3L5T,12,194.26,Clothing,9,Europe,0.02,7669.19,2021-01-07,2023-02-08,Fall,Evening,Discount
CUST_DR9L6G,PROD_U5CZ8J,TRANS_6G93WX,8,92.65,Electronics,58,Europe,0.57,6823.96,2021-02-21,2023-01-26,Fall,Morning,Email Campaign
